T(¡æ)	P(atm)	Cu(g)	S(g)	Fe(g)	SiO2(g)	Pb(g)	Zn(g)	MgO(g)	Al2O3(g)	Ni(g)	Sb(g)	Bi(g)	CaO(g)	As(g)	O2(g)
1200	1	19.618	21.727	20.78	18.132	0.541	2.736	1.432	1.635	0.004	0.09	0.009	0.722	0.005	21
1200	1	20.531	31.225	23.685	11.007	0.493	2.253	0.659	1.483	0.016	0.058	0.021	0.407	0.421	21
1200	1	17.786	20.997	19.36	22.487	0.028	0.174	1.578	3.296	0.109	0.09	0.015	3.709	0.019	21
1200	1	17.416	16.93	25.246	21.348	0.307	0.461	1.008	1.224	0.245	0.057	0.009	0.455	0.014	21
1200	1	19.988	31.718	23.409	12.223	0.548	2.409	0.616	1.36	0.018	0.058	0.023	0.376	0.514	21
1200	1	18.784	27.906	22.842	15.795	0.301	1.48	0.774	1.584	0.05	0.039	0.016	0.412	0.261	21
1200	1	16.686	24.224	22.181	22.155	0.032	0.12	1.173	2.71	0.248	0.038	0.015	3.906	0.022	21
1200	1	20.606	26.452	27.386	10.083	0.04	0.227	0.915	1.301	0.419	0.062	0.01	0.384	0.01	21
1200	1	19.426	23.554	21.388	19.611	0.413	2.328	2.462	1.343	0.29	0.073	0.01	1.063	0.007	21
1200	1	19.445	25.279	23.622	14.578	0.119	0.793	0.679	1.818	0.092	0.046	0.009	0.518	0.008	21
1200	1	20.846	18.042	22.886	18.178	0.271	0.438	0.413	2.816	0.012	0.118	0.012	2.099	0.014	21
1200	1	20.412	26.326	22.614	12.977	0.343	2.038	1.092	1.879	0.012	0.053	0.01	0.562	0.006	21
1200	1	20.635	24.643	22.936	12.888	0.126	0.94	2.262	1.893	0.214	0.064	0.01	0.455	0.009	21
1200	1	21.05	17.538	17.938	21.727	0.222	0.886	1.231	4.236	0.126	0.208	0.016	4.709	0.014	21
1200	1	18.044	19.895	20.632	21.512	0.14	0.766	0.647	1.82	0.008	0.087	0.009	0.777	0.008	21
1200	1	18.526	21.216	22.017	21.479	0.039	0.099	1.316	2.519	0.503	0.125	0.01	1.059	0.009	21
1200	1	19.612	25.496	22.212	14.242	0.453	2.116	1.066	2.088	0.015	0.07	0.014	0.56	0.154	21
1200	1	17.433	24.93	19.986	22.073	0.503	2.177	1.179	1.902	0.149	0.09	0.018	0.388	0.34	21
1200	1	16.482	25.192	21.438	22.526	0.127	0.505	0.922	2.552	0.137	0.037	0.018	3.341	0.153	21
1200	1	17.799	25.298	24.499	16.942	0.734	2.445	0.643	1.113	0.018	0.043	0.022	0.388	0.462	21
1200	1	19.267	25.322	21.042	19.075	0.391	2.108	1.15	1.549	0.034	0.057	0.012	0.476	0.111	21
1200	1	20.222	26.204	22.239	14.161	0.277	1.512	1.176	2.417	0.077	0.07	0.013	1.753	0.051	21
1200	1	17.619	24.559	26.438	14.521	0.713	1.834	0.286	1.07	0.025	0.048	0.025	0.436	0.567	21
1200	1	19.741	24.534	21.265	16.956	0.338	1.979	1.083	1.902	0.011	0.065	0.009	0.722	0.006	21
1200	1	19.162	25.883	26.534	16.645	0.222	1.148	1.582	0.631	0.635	0.056	0.009	0.168	0.007	21
1200	1	23.074	29.44	25.574	6.728	0.009	0.286	0.224	2.054	0.01	0.049	0.01	0.429	0.023	21
1200	1	18.205	18.899	20.382	24.039	0.779	3.379	1.623	1.34	0.002	0.071	0.009	0.771	0.007	21
1200	1	19.82	26.91	27.059	13.127	0.045	0.317	1.204	1.073	0.496	0.041	0.009	0.214	0.009	21
1200	1	19.053	22.086	31.125	12.884	0.319	0.431	1.152	0.529	0.624	0.036	0.009	0.14	0.015	21
1200	1	18.449	21.24	24.776	17.196	0.65	2.195	1.244	1.537	0.115	0.053	0.014	1.43	0.124	21
1200	1	19.513	24.751	23.503	13.672	0.058	0.474	0.458	2.03	0.015	0.05	0.009	0.611	0.009	21
1200	1	18.18	26.873	18.872	21.284	0.434	1.569	0.63	3.172	0.024	0.132	0.031	3.74	0.601	21
1200	1	19.209	26.688	27.771	15.208	0.036	0.16	1.221	0.841	0.656	0.044	0.01	0.457	0.01	21
1200	1	19.498	28.994	25.556	10.094	0.762	2.259	0.349	1.85	0.028	0.09	0.032	1.386	0.754	21
1200	1	18.85	24.915	24.193	17.744	0.048	0.279	0.893	1.656	0.356	0.057	0.009	0.275	0.022	21
1200	1	20.401	22.154	21.568	17.787	0.125	0.978	4.054	1.514	0.423	0.076	0.012	1.624	0.012	21
1200	1	19.778	22.632	25.397	13.334	0.105	0.351	1.689	1.544	0.314	0.067	0.01	0.995	0.013	21
1200	1	19.109	23.775	23.59	17.847	0.04	0.216	1.012	2.207	0.34	0.082	0.012	2.075	0.013	21
1200	1	16.536	24.917	20.925	21.457	0.082	0.304	1.059	3.296	0.073	0.039	0.019	4.816	0.1	21
1200	1	21.16	22.28	20.638	16.484	0.019	0.184	0.643	3.321	0.063	0.136	0.012	2.386	0.011	21
1200	1	18.506	26.268	27.39	16.366	0.041	0.148	1.353	1.047	0.668	0.043	0.011	1.097	0.012	21
1200	1	18.978	23.617	18.847	22.497	0.701	3.752	1.806	1.321	0.047	0.083	0.011	0.568	0.075	21
1200	1	19.159	22.438	19.461	20.85	0.515	2.854	1.476	1.61	0.004	0.084	0.009	0.668	0.003	21
1200	1	18.767	29.075	26.487	11.288	0.436	1.36	1.061	1.533	0.241	0.042	0.024	1.545	0.435	21
1200	1	17.339	13.762	29.299	19.348	0.728	1.295	0.847	0.749	0.227	0.03	0.009	0.347	0.019	21
1200	1	20.745	23.622	22.39	15.654	0.064	0.254	0.439	2.652	0.011	0.084	0.011	1.602	0.012	21
1200	1	19.793	29.342	23.739	14.606	0.273	1.073	0.202	1.554	0.016	0.044	0.019	0.42	0.35	21
1200	1	22.031	23.273	25.488	11.957	0.01	0.442	5.225	0.449	0.785	0.072	0.01	0.181	0.01	21
1200	1	19.418	23.71	22.001	18.018	0.047	0.358	0.813	2.713	0.17	0.086	0.012	2.273	0.012	21
1200	1	18.741	24.352	20.784	17.896	0.242	1.374	2.126	2.807	0.108	0.06	0.015	3.717	0.019	21
1200	1	17.167	20.049	24.098	19.662	0.291	0.52	0.686	2.416	0.012	0.027	0.013	2.62	0.022	21
1200	1	18.208	19.776	26.004	16.81	0.361	0.746	0.401	1.598	0.015	0.021	0.009	0.455	0.015	21
1200	1	18.302	19.561	20.509	24.22	0.658	2.882	1.789	1.186	0.062	0.067	0.01	0.509	0.039	21
1200	1	19.673	23.776	21.164	18.93	0.232	1.437	1.334	1.87	0.108	0.07	0.01	0.844	0.007	21
1200	1	18.785	25.833	22.889	15.918	0.058	0.504	0.549	2.274	0.017	0.029	0.011	1.297	0.012	21
1200	1	18.442	24.062	23.855	18.774	0.065	0.211	0.808	1.933	0.231	0.046	0.011	1.774	0.015	21
1200	1	19.302	26.602	24.89	14.09	0.157	0.693	1.553	1.541	0.412	0.064	0.014	0.265	0.173	21
1200	1	17.708	19.019	29.76	13.474	1.023	2.259	0.457	0.83	0.018	0.03	0.022	0.386	0.448	21
1200	1	17.73	15.658	25.117	21.585	0.537	1.294	1.591	1.065	0.137	0.037	0.009	0.415	0.015	21
1200	1	17.476	16.514	25.546	19.246	0.41	0.576	1.491	1.983	0.118	0.038	0.013	2.427	0.024	21
1200	1	19.277	26.542	28.887	14.791	0.043	0.149	1.427	0.561	0.822	0.054	0.009	0.229	0.009	21
1200	1	20.239	27.073	23.225	13.357	0.012	0.194	0.599	2.793	0.01	0.044	0.014	2.648	0.017	21
1200	1	21.207	25.248	22.58	12.544	0.154	0.724	0.715	3.051	0.118	0.12	0.016	2.359	0.139	21
1200	1	18.751	24.926	21.744	15.062	0.05	0.346	0.841	3.28	0.016	0.059	0.013	2.359	0.016	21
1200	1	18.136	23.068	19.285	21.867	0.264	1.47	1.221	2.729	0.008	0.07	0.012	2.341	0.013	21
1200	1	18.187	29.008	24.76	16.124	0.277	1.146	0.631	1.142	0.254	0.036	0.018	0.253	0.336	21
1200	1	20.32	18.688	25.257	14.466	0.268	0.595	3.024	1.422	0.338	0.066	0.01	0.372	0.014	21
1200	1	19.006	23.159	22.95	15.208	0.159	0.711	0.593	1.859	0.056	0.085	0.013	0.923	0.122	21
1200	1	18.889	20.45	20.916	18.552	0.064	0.41	1.572	2.261	0.129	0.096	0.01	0.917	0.01	21
1200	1	19.956	20.951	19.555	19.122	0.017	0.239	2.852	3.424	0.262	0.122	0.016	4.112	0.019	21
1200	1	20.41	18.956	19.78	17.709	0.039	0.209	0.646	3.38	0.012	0.164	0.013	2.858	0.011	21
1200	1	19.529	20.217	28.859	11.499	0.653	1.726	0.986	1.134	0.183	0.041	0.012	0.422	0.076	21
1200	1	21.797	22.835	21.963	14.618	0.34	2.177	4.58	0.893	0.445	0.086	0.01	0.413	0.006	21
1200	1	19.65	26.112	22.455	16.323	0.561	2.548	2.883	0.83	0.273	0.07	0.019	0.351	0.368	21
1200	1	21.33	23.614	30.12	8.206	0.197	0.461	3.102	0.504	0.734	0.054	0.01	0.164	0.013	21
1200	1	19.868	18.64	25.404	13.386	0.56	1.816	1.325	1.501	0.054	0.074	0.01	0.681	0.012	21
1200	1	16.328	23.905	20.04	22.674	0.03	0.14	1.057	3.636	0.01	0.036	0.018	5.299	0.027	21
1200	1	19.464	25.306	27.554	14.358	0.041	0.204	1.65	0.731	0.662	0.058	0.009	0.211	0.009	21
1200	1	17.53	9.752	29.719	19.309	0.762	0.965	1.753	0.68	0.191	0.026	0.009	0.374	0.023	21
1200	1	18.342	9.908	31.547	15.055	0.829	1.032	1.707	0.725	0.183	0.026	0.01	0.399	0.025	21
1200	1	20.488	30.726	24.122	9.608	0.614	2.936	1.203	1.37	0.109	0.064	0.02	0.451	0.361	21
1200	1	21.771	27.073	24	12.457	0	0.262	0.693	1.823	0.069	0.049	0.009	0.39	0.009	21
1200	1	19.088	22.914	20.509	20.569	0.051	0.474	0.485	2.578	0.017	0.077	0.01	1.424	0.009	21
1200	1	20.726	21.965	21.593	17.798	0.151	0.968	4.141	1.169	0.476	0.098	0.014	0.855	0.143	21
1200	1	17.302	16.895	23.428	22.429	0.525	1.014	0.676	2.472	0.013	0.073	0.017	2.855	0.16	21
1200	1	20.664	26.873	26.087	11.91	0.027	0.197	0.889	1.672	0.383	0.061	0.009	0.272	0.009	21
1200	1	16.77	22.769	24.581	18.077	0.484	1.057	0.716	2.398	0.015	0.032	0.022	3.242	0.292	21
1200	1	18.124	16.773	20.958	23.416	0.349	1.163	0.771	2.018	0.008	0.1	0.01	1.29	0.01	21
1200	1	20.193	20.457	21.761	20.118	0.003	0.438	5.229	0.787	0.62	0.068	0.01	0.8	0.011	21
1200	1	20.193	26.251	26.907	12.305	0.235	1.221	1.506	0.929	0.535	0.066	0.009	0.313	0.007	21
1200	1	19.405	32.066	20.682	15.042	0.716	2.577	0.372	2.492	0.033	0.15	0.04	2.379	0.997	21
1200	1	20.339	17.864	25.247	13.769	0.531	1.633	1.864	1.611	0.134	0.085	0.01	0.974	0.013	21
1200	1	19.398	18.972	19.396	23.032	0.027	0.313	1.818	2.294	0.182	0.12	0.01	1.65	0.009	21
1200	1	20.344	21.516	22.139	17.718	0.058	0.359	2.823	1.684	0.315	0.076	0.009	0.351	0.01	21
1200	1	20.971	25.77	24.4	11.106	0.044	0.572	2.229	1.588	0.244	0.044	0.01	0.41	0.01	21
1200	1	17.046	22.25	18.9	23.489	0.128	0.601	0.653	2.801	0.019	0.078	0.012	0.463	0.121	21
1200	1	18.578	30.124	21.091	14.166	0.661	2.694	1.034	2.141	0.041	0.098	0.028	0.414	0.655	21
1200	1	17.765	28.385	22.116	18.022	0.35	1.399	1.804	1.704	0.183	0.049	0.025	1.881	0.48	21
1200	1	22.704	24.688	21.613	13.879	0.002	0.214	0.372	3.046	0.012	0.12	0.012	1.929	0.01	21
1200	1	17.585	24.506	21.03	20.472	0.073	0.479	0.829	2.825	0.012	0.036	0.014	3.092	0.018	21
1200	1	17.998	19.928	28.326	17.435	0.347	0.543	0.848	0.909	0.381	0.031	0.009	0.252	0.015	21
1200	1	18.788	17.58	27.126	15.958	0.488	0.836	1.255	1.273	0.125	0.042	0.012	0.722	0.098	21
1200	1	21.126	23.174	22.847	16.656	0	0.379	3.44	1.055	0.41	0.061	0.009	0.29	0.009	21
1200	1	18.403	25.597	19.114	22.678	0.694	3.479	1.387	1.255	0.008	0.073	0.016	0.492	0.263	21
1200	1	20.424	25.403	22.425	14.111	0.306	1.877	1.735	1.674	0.103	0.057	0.009	0.516	0.006	21
1200	1	20.6	24.093	24.386	15.476	0.233	1.44	3.383	0.703	0.58	0.07	0.009	0.268	0.007	21
1200	1	21.737	25.358	26.506	11.005	0.036	0.172	1.21	2.005	0.569	0.119	0.012	1.592	0.01	21
1200	1	20.438	21.301	18.744	21.237	0.495	2.864	3.109	1.58	0.211	0.111	0.01	1.075	0.004	21
1200	1	19.416	24.175	25.345	12.853	0.198	0.672	0.439	1.879	0.017	0.025	0.009	0.479	0.012	21
1200	1	21.835	22.787	24.811	11.418	0.022	0.377	3.756	1.187	0.564	0.094	0.01	0.713	0.01	21
1200	1	19.545	18.642	32.294	10.418	0.504	0.663	1.478	0.619	0.495	0.034	0.01	0.238	0.019	21
1200	1	18.001	14.575	29.35	15.497	0.65	0.927	0.382	1.331	0.013	0.019	0.01	0.5	0.021	21
1200	1	19.557	29.2	20.919	15.615	0.857	4.121	1.542	1.209	0.019	0.08	0.021	0.505	0.434	21
1200	1	17.23	17.27	27.124	20.29	0.437	0.684	0.578	1.093	0.183	0.022	0.009	0.342	0.016	21
1200	1	19.254	25.345	23.316	14.755	0.061	0.526	0.447	1.995	0.017	0.038	0.009	0.533	0.009	21
1200	1	20.998	22.656	22.746	14.216	0.114	0.454	0.863	2.711	0.257	0.152	0.015	2.219	0.117	21
1200	1	17.87	20.815	21.671	20.135	0.199	0.653	0.891	1.808	0.069	0.084	0.013	0.644	0.161	21
1200	1	17.775	22.376	21.354	18.861	0.038	0.184	0.774	2.865	0.009	0.066	0.014	3.166	0.018	21
1200	1	20.755	23.351	24.352	9.341	0.045	0.284	0.468	2.148	0.01	0.091	0.01	0.844	0.01	21
1200	1	17.863	16.893	23.604	24.295	0.254	0.339	0.996	1.953	0.39	0.104	0.01	1.408	0.013	21
1200	1	19.165	23.085	22.432	19.313	0.046	0.159	1.062	2.804	0.295	0.096	0.014	3.225	0.016	21
1200	1	18.829	15.195	28.712	12.528	0.549	0.761	0.414	1.497	0.01	0.057	0.011	0.684	0.045	21
1200	1	18.265	34.017	26.122	8.188	0.907	2.842	0.315	1.307	0.033	0.062	0.039	0.276	1.042	21
1200	1	19.092	20.046	26.414	12.448	0.386	0.793	0.426	1.7	0.013	0.062	0.013	0.666	0.118	21
1200	1	21.505	24.037	23.494	13.375	0.088	0.758	3.53	1.366	0.396	0.066	0.011	0.971	0.011	21
1200	1	19.026	25.156	24.079	13.565	0.076	0.367	1.146	2.637	0.221	0.064	0.014	2.908	0.018	21
1200	1	16.259	23.905	21.783	22.117	0.394	1.201	0.854	2.485	0.014	0.038	0.021	3.366	0.278	21
1200	1	19.942	17.025	25.859	16.036	0.302	0.646	3.602	0.831	0.419	0.059	0.01	0.497	0.015	21
1200	1	17.39	17.246	31.337	13.052	1.052	1.925	0.271	0.762	0.019	0.022	0.022	0.364	0.451	21
1200	1	19.028	14.747	21.854	23.007	0.331	0.443	0.642	2.924	0.085	0.129	0.011	2.007	0.015	21
1200	1	20.294	21.552	25.77	12.65	0.22	0.583	2.054	1.528	0.218	0.048	0.01	0.814	0.015	21
1200	1	19.087	19.753	22.388	17.959	0.48	1.986	1.085	1.623	0.006	0.081	0.009	0.719	0.008	21
1200	1	19.722	23.334	25.688	10.73	0.201	0.548	0.558	2.216	0.014	0.045	0.011	1.352	0.015	21
1200	1	16.738	24.388	20.298	20.989	0.061	0.294	1.17	3.751	0.009	0.04	0.019	5.563	0.027	21
1200	1	21.499	21.808	22.168	16.135	0.194	1.449	5.128	0.694	0.559	0.081	0.01	0.326	0.007	21
1200	1	18.629	23.509	23.041	18.762	0.091	0.544	1.252	1.551	0.159	0.033	0.009	0.389	0.009	21
1200	1	17.926	20.516	20.284	21.667	0.039	0.163	1.303	2.741	0.263	0.106	0.009	0.437	0.009	21
1200	1	19.964	23.242	23.741	18.803	0.011	0.316	2.967	0.819	0.521	0.056	0.009	0.208	0.009	21
1200	1	20.355	25.281	31.902	8.186	0.222	0.368	1.496	0.55	0.727	0.042	0.01	0.119	0.013	21
1200	1	19.683	27.014	25.042	12.479	0.034	0.214	0.944	2.402	0.228	0.045	0.013	2.511	0.017	21
1200	1	17.568	20.807	19.271	23.567	0.02	0.219	2.7	2.806	0.246	0.073	0.014	2.865	0.018	21
1200	1	16.568	8.712	30.309	20.887	0.865	0.983	0.295	0.903	0.009	0.014	0.009	0.415	0.025	21
1200	1	17.547	14.414	27.626	18.751	0.687	1.323	0.563	1.231	0.011	0.025	0.009	0.466	0.019	21
1200	1	19.152	28.916	28.199	13.37	0.238	0.963	1.307	0.506	0.667	0.049	0.015	0.089	0.205	21
1200	1	20.317	26.187	23.636	12.324	0.256	1.489	2.006	2.083	0.23	0.06	0.013	2.026	0.013	21
1200	1	18.556	15.79	23.231	22.7	0.291	0.561	2.873	1.475	0.316	0.069	0.011	1.515	0.017	21
1200	1	18.837	20.59	21.386	17.618	0.041	0.219	0.529	2.361	0.01	0.098	0.009	0.778	0.009	21
1200	1	18.772	17.85	30.707	14.106	0.508	0.639	0.735	0.843	0.327	0.029	0.009	0.281	0.018	21
1200	1	17.486	16.737	23.01	23.762	0.492	1.478	1.946	1.335	0.149	0.046	0.01	1.142	0.015	21
1200	1	18.128	17.686	30.196	14.814	0.507	0.637	0.861	1.145	0.318	0.028	0.011	1.028	0.021	21
1200	1	19.477	20.419	20.458	23.962	0.075	0.398	1.822	2.297	0.426	0.137	0.013	2.121	0.072	21
1200	1	18.07	19.822	27.176	16.564	0.382	0.62	0.963	1.466	0.369	0.063	0.012	0.305	0.098	21
1200	1	20.668	26.253	23.914	13.408	0.482	2.641	1.777	1.215	0.302	0.073	0.01	0.441	0.004	21
1200	1	19.975	26.186	23.279	12.607	0.022	0.197	0.683	2.908	0.01	0.054	0.014	2.921	0.018	21
1200	1	20.765	19.905	20.912	20.214	0.123	0.314	0.543	3.001	0.082	0.133	0.012	2.305	0.011	21
1200	1	18.21	26.373	22.859	16.317	0.144	0.603	1.265	2.551	0.196	0.054	0.018	2.499	0.169	21
1200	1	20.005	32.325	24.314	11.744	0.373	1.485	0.179	1.43	0.02	0.046	0.024	0.31	0.526	21
1200	1	20.385	25.939	24.564	9.81	0.061	0.5	0.478	2.12	0.016	0.052	0.01	0.632	0.01	21
1200	1	19.761	24.331	23.553	13.295	0.29	1.301	1.295	2.098	0.269	0.099	0.012	0.501	0.096	21
1200	1	20.912	27.286	26.53	10.095	0.321	1.715	1.709	1.221	0.492	0.072	0.01	0.392	0.007	21
1200	1	19.717	19.578	22.866	18.436	0.596	2.179	2.473	1.394	0.205	0.09	0.014	1.013	0.154	21
1200	1	19.715	19.635	23.167	16.019	0.201	0.471	1.038	2.616	0.07	0.095	0.012	2.17	0.015	21
1200	1	16.995	23.996	21.9	20.271	0.176	0.45	0.868	3.052	0.019	0.037	0.019	4.165	0.119	21
1200	1	21.756	27.531	23.831	11.526	0.114	0.837	0.502	1.925	0.012	0.052	0.009	0.455	0.008	21
1200	1	16.935	26.4	19.649	23.26	0.383	1.429	1.075	2.259	0.089	0.084	0.026	2.455	0.528	21
1200	1	19.086	24.017	21.229	16.288	0.115	0.634	1.44	2.578	0.121	0.079	0.012	0.46	0.107	21
1200	1	18.43	24.932	21.365	20.048	0.015	0.189	0.614	2.695	0.009	0.04	0.013	2.738	0.017	21
1200	1	20.164	22.62	20.252	18.71	0.115	0.714	0.598	2.809	0.015	0.112	0.012	1.839	0.049	21
1200	1	16.986	11.931	24.902	23.463	0.502	0.638	0.405	1.658	0.009	0.07	0.009	1.079	0.018	21
1200	1	18.522	24.681	21.957	18.348	0.05	0.41	1.474	2.355	0.119	0.04	0.013	2.284	0.038	21
1200	1	19.624	18.754	19.741	24.151	0.01	0.382	4.45	1.482	0.513	0.097	0.011	1.629	0.011	21
1200	1	18.446	20.953	20.142	21.379	0.027	0.19	0.495	2.451	0.011	0.088	0.009	0.611	0.009	21
1200	1	16.484	25.291	26.932	17.335	0.885	2.249	0.28	0.646	0.079	0.031	0.029	0.245	0.722	21
1200	1	17.884	25.612	19.49	22.136	0.343	1.451	0.725	2.635	0.018	0.091	0.022	2.69	0.359	21
1200	1	17.846	32.066	21.956	17.517	0.727	3.015	0.619	1.004	0.022	0.055	0.029	0.313	0.744	21
1200	1	18.968	27.016	22.259	17.885	0.332	1.448	2.405	0.995	0.282	0.063	0.021	0.276	0.438	21
1200	1	19.138	22.66	20.695	19.146	0.25	1.482	2.504	2.029	0.182	0.072	0.012	2.163	0.013	21
1200	1	18.881	26.54	28.769	15.807	0.042	0.15	1.381	0.414	0.807	0.044	0.009	0.027	0.009	21
1200	1	20.867	25.363	24.187	12.351	0.054	0.415	0.838	2.445	0.248	0.09	0.011	1.413	0.01	21
1200	1	17.289	16.186	21.354	23.157	0.393	1.08	0.897	2.258	0.034	0.088	0.009	0.599	0.012	21
1200	1	20.926	24.541	22.62	13.837	0.233	1.46	1.831	1.622	0.135	0.071	0.01	0.545	0.007	21
1200	1	19.659	20.487	22.206	17.246	0.03	0.328	2.383	1.511	0.257	0.087	0.009	0.618	0.009	21
1200	1	19.239	23.544	22.892	18.234	0.437	1.718	0.709	1.477	0.009	0.055	0.013	0.469	0.144	21
1200	1	17.033	26.692	21.262	20.639	0.374	1.352	0.625	1.819	0.144	0.08	0.022	0.356	0.485	21
1200	1	18.491	28.781	22.155	16.369	0.459	1.808	2.302	1.268	0.278	0.076	0.026	0.252	0.626	21
1200	1	20.004	22.117	24.487	14.399	0.146	0.355	0.334	1.837	0.009	0.062	0.009	0.603	0.012	21
1200	1	20.027	29.329	25.194	8.987	0.23	1.064	0.459	1.789	0.057	0.045	0.017	0.493	0.257	21
1200	1	19.237	26.058	26.945	16.033	0.035	0.189	1.049	0.863	0.565	0.046	0.009	0.169	0.009	21
1200	1	19.31	22.217	19.023	21.131	0.592	3.251	1.652	1.562	0.002	0.091	0.009	0.691	0.002	21
1200	1	17.979	16.14	26.726	18.544	0.425	0.582	0.443	1.319	0.084	0.046	0.009	0.521	0.016	21
1200	1	17.239	13.263	24.21	23.863	0.43	0.596	0.738	1.57	0.055	0.067	0.009	0.967	0.018	21
1200	1	17.421	23.463	19.175	22.74	0.306	1.657	1.458	2.892	0.006	0.057	0.015	3.785	0.017	21
1200	1	16.146	27.463	20.437	21.983	0.366	1.294	0.744	2.448	0.077	0.062	0.026	2.234	0.495	21
1200	1	19.107	25.089	27.287	14.907	0.045	0.181	1.139	0.877	0.588	0.059	0.009	0.272	0.009	21
1200	1	17.25	16.65	26.4	21.316	0.381	0.506	1.247	1.242	0.367	0.052	0.009	0.275	0.015	21
1200	1	19.56	24.19	22.857	16.734	0.044	0.545	2.015	1.511	0.219	0.04	0.009	0.389	0.009	21
1200	1	16.105	23.553	19.659	23.442	0.028	0.109	1.098	3.763	0.009	0.039	0.018	5.517	0.027	21
1200	1	20.221	24.639	25.088	11.774	0.139	0.515	0.395	1.937	0.014	0.042	0.009	0.531	0.011	21
1200	1	19.285	20.204	24.197	14.491	0.295	0.762	1.269	2.298	0.092	0.065	0.01	0.496	0.014	21
1200	1	21.248	23.95	23.081	14.383	0.202	1.278	4.854	0.692	0.557	0.075	0.014	0.432	0.162	21
1200	1	20.765	31.126	26.471	7.692	0.253	1.011	0.579	1.588	0.195	0.054	0.02	0.806	0.337	21
1200	1	20.284	23.098	21.743	18.802	0.029	0.319	1.014	2.358	0.207	0.098	0.011	1.517	0.009	21
1200	1	16.346	23.564	20.025	23.663	0.035	0.216	0.911	3.22	0.011	0.033	0.016	4.247	0.022	21
1200	1	19.366	24.945	18.585	20.502	0.432	1.579	0.478	3.036	0.025	0.173	0.029	2.828	0.588	21
1200	1	16.825	15.067	25.184	22.075	0.45	0.622	0.81	1.855	0.185	0.059	0.009	0.532	0.017	21
1200	1	18.899	23.391	22.897	19.341	0.292	1.003	2.18	1.14	0.254	0.057	0.016	0.289	0.263	21
1200	1	18.771	26.314	22.261	15.357	0.021	0.156	0.9	3.433	0.01	0.042	0.017	4.401	0.024	21
1200	1	19.294	18.388	24.167	17.81	0.792	2.837	1.301	1.307	0.004	0.061	0.01	0.56	0.011	21
1200	1	19.322	18.096	23.65	21.041	0.201	0.542	3.391	0.776	0.402	0.052	0.009	0.283	0.012	21
1200	1	17.735	18.053	23.608	22.826	0.617	1.321	0.558	1.978	0.139	0.107	0.021	1.862	0.358	21
1200	1	19.462	23.545	20.375	18.913	0.169	0.802	2.133	2.241	0.223	0.101	0.016	0.793	0.224	21
1200	1	20.392	28.193	30.564	9.098	0.063	0.254	1.469	0.55	0.817	0.052	0.009	0.095	0.009	21
1200	1	21.276	26.727	25.28	10.398	0.097	0.643	2.971	1.323	0.433	0.057	0.014	0.913	0.121	21
1200	1	18.109	21.685	22.234	21.676	0.03	0.192	2.374	1.833	0.507	0.08	0.01	0.856	0.011	21
1200	1	18.738	18.264	24.424	19.771	0.269	0.561	2.495	1.292	0.273	0.044	0.01	1.056	0.016	21
1200	1	18.531	21.627	23.44	17.983	0.045	0.22	0.674	1.578	0.201	0.079	0.009	0.636	0.009	21
1200	1	19.222	23.707	24.927	17.906	0.029	0.217	2.302	1.115	0.623	0.068	0.009	0.17	0.009	21
1200	1	18.282	22.592	23.301	18.606	0.043	0.096	1.377	2.325	0.521	0.101	0.01	0.258	0.01	21
1200	1	18.281	20.44	19.769	22.845	0.082	0.461	3.117	2.074	0.407	0.098	0.012	0.607	0.097	21
1200	1	20.61	26.302	25.152	14.459	0.043	0.243	0.495	1.513	0.202	0.044	0.009	0.31	0.01	21
1200	1	20.276	22.248	26.176	13.384	0.581	2.302	1.981	0.972	0.334	0.065	0.01	0.407	0.009	21
1200	1	21.159	18.568	19.098	22.047	0.106	0.27	0.475	3.499	0.012	0.162	0.012	2.891	0.011	21
1200	1	16.8	10.836	27.037	23.005	0.883	1.881	1.015	0.896	0.039	0.033	0.009	0.461	0.019	21
1200	1	17.768	20.211	22.054	22.775	0.102	0.229	0.835	2.227	0.21	0.083	0.012	2.176	0.014	21
1200	1	16.864	23.454	27.462	16.322	0.872	2.056	0.332	0.924	0.062	0.034	0.027	0.658	0.624	21
1200	1	18.383	30.02	21.54	16.696	0.754	3.326	0.968	1.142	0.018	0.071	0.026	0.452	0.596	21
1200	1	18.253	20.903	20.122	24.121	0.028	0.118	1.024	2.846	0.289	0.113	0.011	1.941	0.011	21
1200	1	19.041	25.576	23.542	17.069	0.209	0.973	2.38	0.948	0.374	0.059	0.016	0.38	0.268	21
1200	1	17.322	31.441	23.467	16.44	0.847	2.717	0.231	1.269	0.031	0.075	0.037	0.951	1.002	21
1200	1	18.986	26.213	28.573	15.842	0.041	0.168	1.677	0.379	0.822	0.045	0.009	0.029	0.009	21
1200	1	20.937	26.863	19.396	15.593	0.744	3.545	1.43	2.376	0.015	0.145	0.023	1.94	0.402	21
1200	1	18.272	25.028	24.027	18.032	0.103	0.508	1.309	2.036	0.387	0.055	0.012	2.053	0.015	21
1200	1	19.362	25.103	25.332	14.803	0.048	0.332	0.959	1.377	0.328	0.051	0.009	0.39	0.009	21
1200	1	18.157	14.739	20.448	24.944	0.273	0.403	1.597	3.137	0.153	0.124	0.013	3.096	0.018	21
1200	1	17.26	29.628	22.944	18.593	0.424	1.583	0.55	1.328	0.184	0.054	0.024	0.241	0.562	21
